gw_site_id	county_code	well_log_nbr	gw_logid	well_tag_nbr	other_identity_id	other_identity_name	other_identity_description	download_date
6310	HARN	1401	HARN0001401		'26S/33E-28dcb'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6310	HARN	1401	HARN0001401		'431649118390101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
6271	HARN	1404	HARN0001404		'26S/33E-33baa'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6272	HARN	1406	HARN0001406		'26S/33E-34acc'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6273	HARN	1408	HARN0001408		'26S/33E-34cca'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6273	HARN	1408	HARN0001408		'431551118381001'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
6311	HARN	1418	HARN0001418		'26S/34E-6dab'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6274	HARN	1420	HARN0001420		'26S/34E-6acd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6864	HARN	1427	HARN0001427		'26S/34E-19cab'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6864	HARN	1427	HARN0001427		'431751118343201'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
6275	HARN	1428	HARN0001428		'26S/34E-19dba'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6275	HARN	1428	HARN0001428		'431752118340801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18563	HARN	1437	HARN0001437		'27S/25E-16ccd'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18563	HARN	1437	HARN0001437		'431325119435801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
20057	HARN	1440	HARN0001440		'431408119261201'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18390	HARN	1442	HARN0001442		'27S/29E-3ccc'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18390	HARN	1442	HARN0001442		'431509119145301'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18390	HARN	1442	HARN0001442		'No. 344'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18391	HARN	1443	HARN0001443		'No. 345'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18564	HARN	1447	HARN0001447		'27s/29e-9CAA'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18564	HARN	1447	HARN0001447		'431434119145101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18392	HARN	1454	HARN0001454		'No. 368'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
22441	HARN	1455	HARN0001455		'26S/31E-33ccc'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
22441	HARN	1455	HARN0001455		'40581'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
22441	HARN	1455	HARN0001455		'431548119004701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
22441	HARN	1455	HARN0001455		'Dunn Ranch Well #1 26S/30E-33Ddd'	DOGAMI OFR 0-80-7	Brown, D.E., McLean, G.D., and Black, G.L., 1980, Preliminary geology and geothermal resource potential of the southern Harney basin, Oregon: State of Oregon Department of Geology and Mineral Industries Open-File Report 0-80-7 (under the direction of J.F. Riccio). 	1/29/2024
22441	HARN	1455	HARN0001455		'HC074'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
22441	HARN	1455	HARN0001455		'NLOG 22222'	OWRD OLD LOGID	Old OWRD Logid - The original logid in the OWRD well log database. Replaced by a different logid or no longer in the OWRD well log database.	1/29/2024
18565	HARN	1458	HARN0001458	95069	'27S/30E-14bbb'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18565	HARN	1458	HARN0001458	95069	'40185'	ODEQ Station ID	Oregon Department of Environmental Quality Station ID	1/29/2024
18565	HARN	1458	HARN0001458	95069	'431357118582301'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18565	HARN	1458	HARN0001458	95069	'HC058'	ODEQ Field ID	Oregon Department of Environmental Quality Field ID	1/29/2024
18566	HARN	1459	HARN0001459	95099	'27S/30E-34bab'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18566	HARN	1459	HARN0001459	95099	'431119118592701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
6312	HARN	1461	HARN0001461		'27S/31E-1acb'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
6312	HARN	1461	HARN0001461		'431513118471801'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
18393	HARN	1463	HARN0001463		'No. 374'	USGS WSP 0841	Piper, A.M., Robinson, T.W., Park, C.F., and Jessup, L.T., 1939, Geology and ground-water resources of the Harney Basin, Oregon: U.S. Geological Survey Water Supply Paper 841.	1/29/2024
18062	HARN	1467	HARN0001467	121140	'27S/31E-9bba'	USGS OFR 80-419 RILEY-ANDREWS	Townley, P.J., 1980, Ground-water data from the Riley and Andrews resource areas, southeastern Oregon: U.S. Geological Survey Open-File Report 80-419.	1/29/2024
18062	HARN	1467	HARN0001467	121140	'431447118533601'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
17576	HARN	1472	HARN0001472	95073	'27S/32E-14ccd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17576	HARN	1472	HARN0001472	95073	'431310118441101'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
17575	HARN	1473	HARN0001473		'27S/32E-14bca'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17575	HARN	1473	HARN0001473		'431342118440901'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
17577	HARN	1474	HARN0001474		'27S/32E-33acd'	USGS OFR 77-741 DREWSEY	Gonthier, J.B., Collins, C.A., and Anderson, D.B., 1977, Ground-water data for the Drewsey resource area, Harney and Malheur Counties, Oregon: U.S. Geological Survey Open-File Report 77-741.	1/29/2024
17577	HARN	1474	HARN0001474		'431059118455701'	USGS SITE ID	U.S. Geological Survey Siteid	1/29/2024
